value,m,s,n,arms,epsilon,scaled_1,players,repeat,m_per_player,best_arm_mean
0.0,1315.0818579470897,52.59310106497591,28.0,5.0,0.1,50.0,101.0,0.0,13.02061245492168,90.16928835619362
1.0,1547.279102522879,23.203416460773667,4.0,5.0,0.1,50.0,101.0,0.0,15.31959507448395,90.16928835619362
2.0,1389.602314814354,50.388860965270744,62.0,5.0,0.1,50.0,101.0,0.0,13.758438760538159,90.16928835619362
3.0,1628.2660703591507,67.17845580869417,5.0,5.0,0.1,50.0,101.0,0.0,16.12144624117971,90.16928835619362
4.0,1328.0608697892746,235.63197262930913,2.0,5.0,0.1,50.0,101.0,0.0,13.149117522666085,90.16928835619362
0.0,2831.1952574662528,215.0822287741188,13.0,5.0,0.1,50.0,101.0,1.0,28.031636212537155,96.5662667520282
1.0,2750.4807080631053,49.22751967679804,33.0,5.0,0.1,50.0,101.0,1.0,27.23248225805055,96.5662667520282
2.0,2789.8794099563866,51.67154335286072,32.0,5.0,0.1,50.0,101.0,1.0,27.622568415409766,96.5662667520282
3.0,3071.9971533463404,101.94253185730639,4.0,5.0,0.1,50.0,101.0,1.0,30.415813399468718,96.5662667520282
4.0,2643.672798488325,119.45594592633907,19.0,5.0,0.1,50.0,101.0,1.0,26.174978202854703,96.5662667520282
0.0,2856.945770024999,377.37289260795984,6.0,5.0,0.1,50.0,101.0,2.0,28.286591782425734,90.05579280598762
1.0,2675.0804325557483,46.123005974334184,28.0,5.0,0.1,50.0,101.0,2.0,26.48594487678959,90.05579280598762
2.0,2609.888305482122,107.96577041797288,26.0,5.0,0.1,50.0,101.0,2.0,25.84047827210022,90.05579280598762
3.0,2641.5135231122636,38.647798838070955,32.0,5.0,0.1,50.0,101.0,2.0,26.153599238735282,90.05579280598762
4.0,2784.7671698807426,170.8392532471964,9.0,5.0,0.1,50.0,101.0,2.0,27.571952177037055,90.05579280598762
0.0,2252.571271556003,84.48418899886816,8.0,5.0,0.2,25.0,101.0,0.0,22.302685856990127,92.5739362200234
2.0,2092.5436072133493,130.73345457324876,32.0,5.0,0.2,25.0,101.0,0.0,20.718253536765836,92.5739362200234
3.0,2143.237202850035,101.84151692430906,38.0,5.0,0.2,25.0,101.0,0.0,21.22017032524787,92.5739362200234
4.0,2022.1727346359658,225.57996405756973,23.0,5.0,0.2,25.0,101.0,0.0,20.021512224118474,92.5739362200234
0.0,2499.4996313833035,152.6678467370381,32.0,5.0,0.2,25.0,101.0,1.0,24.747521102804985,91.15619587808841
1.0,2593.6871883586373,153.94868635532492,9.0,5.0,0.2,25.0,101.0,1.0,25.680071171867695,91.15619587808841
2.0,2449.9752012985437,194.7594260520225,29.0,5.0,0.2,25.0,101.0,1.0,24.25718021087667,91.15619587808841
3.0,2491.6945939488137,140.51727751006757,28.0,5.0,0.2,25.0,101.0,1.0,24.6702435044437,91.15619587808841
4.0,2535.2330763613995,314.4376373869302,3.0,5.0,0.2,25.0,101.0,1.0,25.101317587736627,91.15619587808841
0.0,1486.4314173011594,174.22118002075794,24.0,5.0,0.2,25.0,101.0,2.0,14.717142745556034,92.7014406809949
1.0,1616.4350654909153,202.83738722117673,2.0,5.0,0.2,25.0,101.0,2.0,16.004307579117974,92.7014406809949
2.0,1612.9213839341226,91.09651198712093,51.0,5.0,0.2,25.0,101.0,2.0,15.969518652813095,92.7014406809949
3.0,1458.8550795906685,129.1979207238308,19.0,5.0,0.2,25.0,101.0,2.0,14.44410969891751,92.7014406809949
4.0,1604.791634133873,209.0654581777484,5.0,5.0,0.2,25.0,101.0,2.0,15.889026080533396,92.7014406809949
0.0,1818.7234094184548,278.43394077248155,19.0,5.0,0.4,12.5,101.0,0.0,18.00716246948965,86.17747469833347
1.0,1819.545471659558,195.16249787600347,37.0,5.0,0.4,12.5,101.0,0.0,18.015301699599583,86.17747469833347
2.0,1832.7062178783383,257.4533384502248,11.0,5.0,0.4,12.5,101.0,0.0,18.14560611760731,86.17747469833347
3.0,1893.143606980298,217.22390058384443,8.0,5.0,0.4,12.5,101.0,0.0,18.743996108715823,86.17747469833347
4.0,1843.0570075739904,225.75976983660462,26.0,5.0,0.4,12.5,101.0,0.0,18.248089183900895,86.17747469833347
0.0,1129.2411985859578,203.4009818363864,4.0,5.0,0.4,12.5,101.0,1.0,11.180605926593643,90.41523880637794
2.0,1272.8338374654886,194.9014525996166,39.0,5.0,0.4,12.5,101.0,1.0,12.60231522243058,90.41523880637794
3.0,1310.0084061578289,170.76368259081227,58.0,5.0,0.4,12.5,101.0,1.0,12.970380258988405,90.41523880637794
0.0,1901.0507704783897,158.56183074195965,31.0,5.0,0.4,12.5,101.0,2.0,18.822284856221682,80.7853499013496
1.0,1867.3718950044483,185.70013467077464,30.0,5.0,0.4,12.5,101.0,2.0,18.4888306436084,80.7853499013496
2.0,1942.916977922461,130.4960619898894,13.0,5.0,0.4,12.5,101.0,2.0,19.236801761608525,80.7853499013496
3.0,1806.6527860718297,259.71581556695094,5.0,5.0,0.4,12.5,101.0,2.0,17.88765134724584,80.7853499013496
4.0,1732.5616184946564,262.69598457106747,22.0,5.0,0.4,12.5,101.0,2.0,17.154075430640162,80.7853499013496
0.0,1276.8028136611335,160.9097526882536,28.0,5.0,0.8,6.25,101.0,0.0,12.641612016446867,93.57917030192844
1.0,1204.2008017396404,170.78704019998372,7.0,5.0,0.8,6.25,101.0,0.0,11.922780215243964,93.57917030192844
3.0,1334.3229522107306,122.98536090874981,36.0,5.0,0.8,6.25,101.0,0.0,13.211118338720105,93.57917030192844
4.0,1308.7879463000957,152.56943819101932,30.0,5.0,0.8,6.25,101.0,0.0,12.958296498020749,93.57917030192844
2.0,806.3877718006693,42.4824508497953,6.0,5.0,0.8,6.25,101.0,1.0,7.984037344561082,85.8822373271868
3.0,893.0375218703367,66.52873454756258,95.0,5.0,0.8,6.25,101.0,1.0,8.841955662082542,85.8822373271868
0.0,1042.519357097579,74.38690350392478,84.0,5.0,0.8,6.25,101.0,2.0,10.321973832649297,96.571775400874
3.0,905.8285954231095,71.50477732221002,17.0,5.0,0.8,6.25,101.0,2.0,8.968599954684253,96.571775400874
0.0,4801.1852035538805,491.4617711622933,10.0,10.0,0.1,100.0,101.0,0.0,47.53648716389981,89.3212984287542
1.0,4850.582905292663,140.845721891754,10.0,10.0,0.1,100.0,101.0,0.0,48.02557331972933,89.3212984287542
2.0,4747.834090254279,352.97649423804893,16.0,10.0,0.1,100.0,101.0,0.0,47.008258319349295,89.3212984287542
3.0,4924.979110616096,438.77429136021465,12.0,10.0,0.1,100.0,101.0,0.0,48.76216941204055,89.3212984287542
4.0,7025.699024027766,0.0,1.0,10.0,0.1,100.0,101.0,0.0,69.56137647552244,89.3212984287542
5.0,4833.039392903908,197.20459980794055,11.0,10.0,0.1,100.0,101.0,0.0,47.85187517726642,89.3212984287542
6.0,4639.137566285689,468.58325141855215,17.0,10.0,0.1,100.0,101.0,0.0,45.932055111739494,89.3212984287542
7.0,5389.146290006775,162.34955972064736,7.0,10.0,0.1,100.0,101.0,0.0,53.35788405947302,89.3212984287542
8.0,5204.627465651833,680.3939200511696,6.0,10.0,0.1,100.0,101.0,0.0,51.53096500645379,89.3212984287542
9.0,4547.817593246598,538.0468530646664,11.0,10.0,0.1,100.0,101.0,0.0,45.02789696283761,89.3212984287542
0.0,3892.8422986584974,211.03047337232223,13.0,10.0,0.1,100.0,101.0,1.0,38.54299305602473,98.86124856872786
1.0,3850.9547072904716,182.8775775400886,18.0,10.0,0.1,100.0,101.0,1.0,38.12826442861853,98.86124856872786
2.0,3694.574385046167,320.45696742517447,12.0,10.0,0.1,100.0,101.0,1.0,36.57994440639769,98.86124856872786
3.0,5044.078690590427,0.0,1.0,10.0,0.1,100.0,101.0,1.0,49.94137317416264,98.86124856872786
4.0,3905.359691541015,312.89086631393207,22.0,10.0,0.1,100.0,101.0,1.0,38.666927639019946,98.86124856872786
5.0,4129.989355404532,436.4252873158576,4.0,10.0,0.1,100.0,101.0,1.0,40.890983716876555,98.86124856872786
6.0,4097.356619708581,162.99811184178165,11.0,10.0,0.1,100.0,101.0,1.0,40.56788732384734,98.86124856872786
7.0,3737.5242036763048,891.5796738578746,9.0,10.0,0.1,100.0,101.0,1.0,37.00519013540896,98.86124856872786
8.0,4080.8145140356078,285.20676337383543,8.0,10.0,0.1,100.0,101.0,1.0,40.404104099362456,98.86124856872786
9.0,4606.687367506272,167.1092570414813,3.0,10.0,0.1,100.0,101.0,1.0,45.61076601491358,98.86124856872786
0.0,3521.9764684752645,227.9345409516497,18.0,10.0,0.1,100.0,101.0,2.0,34.87105414331945,74.48746038380216
1.0,3417.7540896895025,586.3073146322403,14.0,10.0,0.1,100.0,101.0,2.0,33.83914940286636,74.48746038380216
2.0,3246.501351327579,679.1594240691636,19.0,10.0,0.1,100.0,101.0,2.0,32.14357773591662,74.48746038380216
3.0,4015.1461769710913,629.3743084874711,4.0,10.0,0.1,100.0,101.0,2.0,39.75392254426823,74.48746038380216
4.0,3690.2162841910913,372.1578801421801,7.0,10.0,0.1,100.0,101.0,2.0,36.5367948929811,74.48746038380216
5.0,3322.8134374811675,319.4297731819635,14.0,10.0,0.1,100.0,101.0,2.0,32.89914294535809,74.48746038380216
7.0,3589.2006487901795,326.0801362586677,8.0,10.0,0.1,100.0,101.0,2.0,35.53664008703148,74.48746038380216
8.0,4397.490956808967,339.6364797364029,4.0,10.0,0.1,100.0,101.0,2.0,43.53951442385116,74.48746038380216
9.0,3541.1307578767446,209.40216489447985,13.0,10.0,0.1,100.0,101.0,2.0,35.060700573037074,74.48746038380216
0.0,4213.513735514056,553.8274335838001,10.0,10.0,0.2,50.0,101.0,0.0,41.71795777736689,97.88230178807544
2.0,4722.5846151764335,429.1353533367296,5.0,10.0,0.2,50.0,101.0,0.0,46.758263516598355,97.88230178807544
3.0,4413.343888556009,345.830628813965,7.0,10.0,0.2,50.0,101.0,0.0,43.6964741441189,97.88230178807544
4.0,3930.197231055638,437.8530990043508,14.0,10.0,0.2,50.0,101.0,0.0,38.912843871838,97.88230178807544
5.0,3991.6776078906682,379.3653589948998,19.0,10.0,0.2,50.0,101.0,0.0,39.521560474165035,97.88230178807544
6.0,4043.950215314396,349.1535764369162,14.0,10.0,0.2,50.0,101.0,0.0,40.03911104271679,97.88230178807544
7.0,3948.6265619517067,446.2881169920121,16.0,10.0,0.2,50.0,101.0,0.0,39.09531249457135,97.88230178807544
8.0,3777.4199974743024,721.0301772451342,16.0,10.0,0.2,50.0,101.0,0.0,37.40019799479507,97.88230178807544
0.0,3955.7329409624845,319.96261929468017,19.0,10.0,0.2,50.0,101.0,1.0,39.165672682796874,93.08344987990421
1.0,4509.29980834791,0.0,1.0,10.0,0.2,50.0,101.0,1.0,44.6465327559199,93.08344987990421
2.0,4232.44222725609,557.0587547225404,6.0,10.0,0.2,50.0,101.0,1.0,41.90536858669395,93.08344987990421
3.0,4134.460021038045,275.6531059324567,11.0,10.0,0.2,50.0,101.0,1.0,40.93524773304995,93.08344987990421
4.0,3750.979367853087,479.8872441679551,16.0,10.0,0.2,50.0,101.0,1.0,37.13840958270383,93.08344987990421
5.0,3907.43324247966,503.6718198990792,15.0,10.0,0.2,50.0,101.0,1.0,38.68745784633327,93.08344987990421
6.0,3872.5493669555285,448.31878796050563,15.0,10.0,0.2,50.0,101.0,1.0,38.34207294015375,93.08344987990421
7.0,4354.109007558132,133.2173187792969,4.0,10.0,0.2,50.0,101.0,1.0,43.109990173842895,93.08344987990421
8.0,4901.443835002283,175.172921431234,3.0,10.0,0.2,50.0,101.0,1.0,48.52914688121072,93.08344987990421
9.0,3638.989712780985,312.10604868021767,11.0,10.0,0.2,50.0,101.0,1.0,36.02960111664341,93.08344987990421
0.0,3730.9874600356216,271.9172705811765,10.0,10.0,0.2,50.0,101.0,2.0,36.94046990134279,75.95276532269949
1.0,3635.129409935893,464.37815497621153,17.0,10.0,0.2,50.0,101.0,2.0,35.99138029639498,75.95276532269949
2.0,3801.588878367621,282.74182686848917,8.0,10.0,0.2,50.0,101.0,2.0,37.63949384522397,75.95276532269949
3.0,3620.048796677806,248.97128370970987,16.0,10.0,0.2,50.0,101.0,2.0,35.84206729383966,75.95276532269949
4.0,3849.97609881863,345.76315423473676,8.0,10.0,0.2,50.0,101.0,2.0,38.11857523582802,75.95276532269949
5.0,3737.7516962412355,246.4109766245488,10.0,10.0,0.2,50.0,101.0,2.0,37.00744253704194,75.95276532269949
6.0,4069.194836106516,394.0280374005741,5.0,10.0,0.2,50.0,101.0,2.0,40.289057783232835,75.95276532269949
7.0,3662.044464222637,280.70146668995267,14.0,10.0,0.2,50.0,101.0,2.0,36.25786598240235,75.95276532269949
8.0,3631.8203857174813,329.4121290841087,13.0,10.0,0.2,50.0,101.0,2.0,35.9586176803711,75.95276532269949
1.0,3310.1807738462253,709.8098129527111,7.0,10.0,0.4,25.0,101.0,0.0,32.77406706778441,95.25881390446632
2.0,2803.9484135158436,1800.7109066823853,2.0,10.0,0.4,25.0,101.0,0.0,27.76186548035489,95.25881390446632
3.0,3447.822228519783,1008.2860463016099,4.0,10.0,0.4,25.0,101.0,0.0,34.13685374772062,95.25881390446632
4.0,3164.1805997353035,659.2670561738302,17.0,10.0,0.4,25.0,101.0,0.0,31.32852078945845,95.25881390446632
5.0,3290.462342018887,761.0811520407137,15.0,10.0,0.4,25.0,101.0,0.0,32.57883506949393,95.25881390446632
6.0,3557.8557091104067,259.26849806546676,11.0,10.0,0.4,25.0,101.0,0.0,35.22629414960799,95.25881390446632
7.0,3229.4122547447646,596.8132487005342,19.0,10.0,0.4,25.0,101.0,0.0,31.974378759849156,95.25881390446632
