value,m,s,n,n_arms,eps,f_eps,f_n_arms
1,38.132707270684165,0.4984815488451829,25,5.0,0.1,0.1,5
2,53.36022503042116,0.5620598608857371,17,5.0,0.1,0.1,5
3,53.31064520480961,0.6067803473116915,17,5.0,0.1,0.1,5
4,37.06712122117975,0.3389529707130483,26,5.0,0.1,0.1,5
5,55.83337513172278,0.5776413672204211,16,5.0,0.1,0.1,5
1,44.85755283598878,0.699906984338082,18,5.0,0.2,0.2,5
2,38.75765130115851,0.6218841380709885,22,5.0,0.2,0.2,5
3,48.59296739637885,0.7679698529488842,16,5.0,0.2,0.2,5
4,43.02190469492406,0.733032745056422,19,5.0,0.2,0.2,5
5,33.93978386214929,0.5194276935272294,26,5.0,0.2,0.2,5
1,35.408953773179086,0.8596030665051702,21,5.0,0.3,0.3,5
2,40.32598823388037,0.7068001119766084,17,5.0,0.3,0.3,5
3,39.112397538265085,1.0659397648823377,18,5.0,0.3,0.3,5
4,35.32258878722065,0.8177222299368289,21,5.0,0.3,0.3,5
5,32.484789468785046,0.6872546106315003,24,5.0,0.3,0.3,5
1,31.179851320308625,0.736767035014676,20,5.0,0.4,0.4,5
2,27.474248824879957,0.7991662153710917,26,5.0,0.4,0.4,5
3,29.219989212194776,0.7278398115294887,23,5.0,0.4,0.4,5
4,30.600865623112796,0.6012011452691968,21,5.0,0.4,0.4,5
5,40.267985421370824,1.3491202060069198,11,5.0,0.4,0.4,5
1,27.84444483495564,0.7003930485818333,17,5.0,0.5,0.5,5
2,24.928701954359752,0.6533517581116361,23,5.0,0.5,0.5,5
3,25.368763501632987,0.782942917409163,22,5.0,0.5,0.5,5
4,25.85957937344274,0.9951063223829653,21,5.0,0.5,0.5,5
5,27.649637826872997,0.8420217375349497,18,5.0,0.5,0.5,5
1,20.289908113015812,0.7489253372538506,24,5.0,0.6,0.6,5
2,21.25211093933014,0.7416973718732927,20,5.0,0.6,0.6,5
3,21.682044139039448,0.6435301587596475,18,5.0,0.6,0.6,5
4,19.791017334944378,0.773297381028425,26,5.0,0.6,0.6,5
5,23.280407830285338,0.8185455009778948,13,5.0,0.6,0.6,5
1,16.50383584531613,0.619845985347429,16,5.0,0.7,0.7,5
2,15.969059970553356,0.7794490033628954,22,5.0,0.7,0.7,5
3,16.18591174803383,1.0413051653387464,19,5.0,0.7,0.7,5
4,15.841691180157886,0.7766556619849223,22,5.0,0.7,0.7,5
5,15.927556559693501,0.6709439537837603,22,5.0,0.7,0.7,5
1,11.86360285442044,0.4674186567480537,18,5.0,0.8,0.8,5
2,11.852503668684324,0.3688567816230762,19,5.0,0.8,0.8,5
3,11.713192449902317,0.4390891482001276,19,5.0,0.8,0.8,5
4,11.923817202084392,0.40635619664503797,17,5.0,0.8,0.8,5
5,11.677790696143283,0.3287496394253488,28,5.0,0.8,0.8,5
1,12.886385015342047,0.46342103544118807,23,5.0,0.9,0.9,5
