value,m,s,n,n_arms,eps,f_eps,f_n_arms,n_users
1,50.12034795252004,0.7164897167756114,18,5.0,0.1,0.1,5,101
2,37.51095106293232,0.3546874352457366,25,5.0,0.1,0.1,5,101
3,37.54942670446049,0.5079121118858079,25,5.0,0.1,0.1,5,101
4,49.820521331925256,0.5508114171119286,18,5.0,0.1,0.1,5,101
5,58.2595925559545,0.706193896713407,15,5.0,0.1,0.1,5,101
1,42.16121777801802,0.5278190907302851,19,5.0,0.2,0.2,5,101
2,36.6021871623254,0.5569393314534501,23,5.0,0.2,0.2,5,101
3,37.76672106756665,0.47856366531496325,22,5.0,0.2,0.2,5,101
4,45.875690730053904,0.7093647436880351,17,5.0,0.2,0.2,5,101
5,40.61995748905302,0.7760221594411875,20,5.0,0.2,0.2,5,101
1,37.88041124207456,0.8075038453403157,18,5.0,0.3,0.3,5,101
2,47.990073856602145,0.838651816243468,12,5.0,0.3,0.3,5,101
3,30.7256278071461,0.668515460258699,25,5.0,0.3,0.3,5,101
4,35.44268874336474,0.5791717354121034,20,5.0,0.3,0.3,5,101
5,30.013891726499022,0.7867728829146307,26,5.0,0.3,0.3,5,101
1,30.67381119869913,0.7743793787403521,20,5.0,0.4,0.4,5,101
2,33.006283804432,0.9550769123751086,17,5.0,0.4,0.4,5,101
3,29.665372321085894,0.7464035722448528,21,5.0,0.4,0.4,5,101
4,26.10469908480178,0.839967644634248,27,5.0,0.4,0.4,5,101
5,34.41893266347383,0.9774419731565437,16,5.0,0.4,0.4,5,101
1,26.628544148066425,0.7062599890256543,18,5.0,0.5,0.5,5,101
2,24.828765039426084,0.8839266551141913,21,5.0,0.5,0.5,5,101
3,25.362657252939854,0.880978336992742,20,5.0,0.5,0.5,5,101
4,24.58203981635151,0.9216539922796267,22,5.0,0.5,0.5,5,101
5,25.613646785922114,1.0044679551122107,20,5.0,0.5,0.5,5,101
1,20.90308452298087,0.8133018223353368,17,5.0,0.6,0.6,5,101
2,18.99795538448444,0.6689147009738057,26,5.0,0.6,0.6,5,101
3,22.146685267042052,0.7877095259031338,14,5.0,0.6,0.6,5,101
4,20.121884003074577,0.7032529925531008,22,5.0,0.6,0.6,5,101
5,20.052078499065374,0.8299278009411469,22,5.0,0.6,0.6,5,101
1,15.090273331274293,0.7093709732916474,21,5.0,0.7,0.7,5,101
2,15.18247110927061,0.466564833344018,23,5.0,0.7,0.7,5,101
3,14.978215702538968,0.6946623795707298,23,5.0,0.7,0.7,5,101
4,15.211093710061295,0.7622475840722641,19,5.0,0.7,0.7,5,101
5,15.952376046460882,0.6768597314680878,15,5.0,0.7,0.7,5,101
1,10.968867174972072,0.361578345594647,18,5.0,0.8,0.8,5,101
2,10.92243572998795,0.364223495566736,22,5.0,0.8,0.8,5,101
3,11.084254204729012,0.3451315366248468,17,5.0,0.8,0.8,5,101
4,10.955023959459453,0.28341838613777537,23,5.0,0.8,0.8,5,101
5,11.092467112651754,0.510228211583537,21,5.0,0.8,0.8,5,101
1,12.38329518579306,0.5339189471977018,29,5.0,0.9,0.9,5,101
2,12.342937015430891,0.4793295295770442,33,5.0,0.9,0.9,5,101
3,12.109828093203495,0.44299870097208416,19,5.0,0.9,0.9,5,101
4,12.210450636688579,0.4940507182217775,11,5.0,0.9,0.9,5,101
5,11.996977685489398,0.3210907362506503,9,5.0,0.9,0.9,5,101
1,142.99564833314832,1.5698689750057062,6,10.0,0.1,0.1,10,101
2,78.04509223755603,0.8576420678714837,12,10.0,0.1,0.1,10,101
3,100.57755010058978,0.9886328459731923,9,10.0,0.1,0.1,10,101
4,92.05447172108983,1.1982453445520511,10,10.0,0.1,0.1,10,101
5,83.77326272212686,1.2136508560628967,11,10.0,0.1,0.1,10,101
6,125.36403090373689,0.6675523733295089,7,10.0,0.1,0.1,10,101
7,91.52451953447344,0.8930988349041821,10,10.0,0.1,0.1,10,101
8,77.72948757397347,1.0505144169176275,12,10.0,0.1,0.1,10,101
9,72.08628097016167,0.6164348866100322,13,10.0,0.1,0.1,10,101
10,84.12120482755559,0.800435710545027,11,10.0,0.1,0.1,10,101
1,88.67567421685109,1.1367657642964009,9,10.0,0.2,0.2,10,101
2,81.74626840479829,0.9637476691880116,10,10.0,0.2,0.2,10,101
3,75.423242120875,1.2542897401852333,11,10.0,0.2,0.2,10,101
4,58.69207255879142,0.9144277710024656,15,10.0,0.2,0.2,10,101
5,88.42040670601084,1.5262233191599526,9,10.0,0.2,0.2,10,101
6,81.75920239847913,1.8378758871729879,10,10.0,0.2,0.2,10,101
7,97.93980184654555,2.172347985943529,8,10.0,0.2,0.2,10,101
8,82.2089718614723,1.346391198488203,10,10.0,0.2,0.2,10,101
9,81.38915808864385,1.9729695116664614,10,10.0,0.2,0.2,10,101
10,88.64788371577617,1.3193223435753783,9,10.0,0.2,0.2,10,101
1,77.68031479232508,1.921023585772353,9,10.0,0.3,0.3,10,101
2,91.484953118777,3.1108928665310875,7,10.0,0.3,0.3,10,101
3,108.47223803973831,1.9831619916798218,5,10.0,0.3,0.3,10,101
4,82.66152717788785,1.0103964833935069,8,10.0,0.3,0.3,10,101
5,48.86413219043762,0.8780576806808689,17,10.0,0.3,0.3,10,101
6,71.92678592649231,1.358718148496666,10,10.0,0.3,0.3,10,101
7,77.62792311174711,1.9066760720691818,9,10.0,0.3,0.3,10,101
8,63.31612911619744,1.322835450039716,12,10.0,0.3,0.3,10,101
9,63.23476927233767,1.2073754823289211,12,10.0,0.3,0.3,10,101
10,63.51907099429417,0.8474336807025079,12,10.0,0.3,0.3,10,101
1,68.75998729083142,0.7320380872680597,8,10.0,0.4,0.4,10,101
2,62.384466791379104,1.4451010891542353,10,10.0,0.4,0.4,10,101
3,65.67441162686312,1.5883882949049246,9,10.0,0.4,0.4,10,101
4,58.190553692953536,1.4529157035088176,11,10.0,0.4,0.4,10,101
5,50.773640284233316,1.1519401276958376,14,10.0,0.4,0.4,10,101
6,75.37646953886484,2.4742572827310725,7,10.0,0.4,0.4,10,101
7,52.93180236086628,1.6913131425791204,13,10.0,0.4,0.4,10,101
8,58.41939427922104,2.150445733338407,11,10.0,0.4,0.4,10,101
9,61.78208501981385,1.7914507487702716,10,10.0,0.4,0.4,10,101
10,70.12007250468017,1.537865469516654,8,10.0,0.4,0.4,10,101
1,57.13750720276495,1.6893488269627668,8,10.0,0.5,0.5,10,101
2,54.92558036266794,2.0118560264553516,9,10.0,0.5,0.5,10,101
3,43.62464659247353,1.0289791792477117,14,10.0,0.5,0.5,10,101
4,43.58119940559978,1.293633546777261,14,10.0,0.5,0.5,10,101
5,51.752844865832834,1.5786974138188348,10,10.0,0.5,0.5,10,101
6,62.82334188143049,2.1453491600254893,6,10.0,0.5,0.5,10,101
