value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
1,19.40590456490515,0.20250400252663528,48,5.0,0.1,0.1,5,50.0,50,201.0,201
2,23.243460689705437,0.24058790013389939,39,5.0,0.1,0.1,5,50.0,50,201.0,201
3,21.392768864664905,0.24423328221778492,43,5.0,0.1,0.1,5,50.0,50,201.0,201
4,25.55425878614902,0.2649641262968081,35,5.0,0.1,0.1,5,50.0,50,201.0,201
5,24.914774566525185,0.2699321116235075,36,5.0,0.1,0.1,5,50.0,50,201.0,201
1,21.116147667517502,0.35960043381033924,38,5.0,0.2,0.2,5,25.0,25,201.0,201
2,20.636639381474172,0.35757829684007586,39,5.0,0.2,0.2,5,25.0,25,201.0,201
3,20.604860315069182,0.36222509770688105,39,5.0,0.2,0.2,5,25.0,25,201.0,201
4,18.491677155523206,0.25783105176397253,45,5.0,0.2,0.2,5,25.0,25,201.0,201
5,20.195139729312142,0.32514350959612837,40,5.0,0.2,0.2,5,25.0,25,201.0,201
1,17.214514282099632,0.3446629353357438,42,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,201.0,201
2,18.03530374090617,0.4538604822272052,39,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,201.0,201
3,18.608660784651686,0.35049278717076904,37,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,201.0,201
4,17.704818317703634,0.3257737201979955,40,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,201.0,201
5,16.954771859530034,0.3840027266649499,43,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,201.0,201
1,14.838890081171947,0.3401307011047884,42,5.0,0.4,0.4,5,12.5,12.5,201.0,201
2,16.15066156527384,0.32779003133174006,36,5.0,0.4,0.4,5,12.5,12.5,201.0,201
3,15.585545520435145,0.4363418798230548,38,5.0,0.4,0.4,5,12.5,12.5,201.0,201
4,15.277595656702225,0.32306903978512835,40,5.0,0.4,0.4,5,12.5,12.5,201.0,201
5,14.374515299804546,0.3723718156522798,45,5.0,0.4,0.4,5,12.5,12.5,201.0,201
1,13.318213328848016,0.4200108261754695,35,5.0,0.5,0.5,5,10.0,10,201.0,201
2,12.469192200259123,0.3548203752731226,41,5.0,0.5,0.5,5,10.0,10,201.0,201
3,12.676144012289361,0.4060295827006072,40,5.0,0.5,0.5,5,10.0,10,201.0,201
4,11.899390252960124,0.3024103235310815,47,5.0,0.5,0.5,5,10.0,10,201.0,201
5,12.930688629272645,0.39689867870230755,38,5.0,0.5,0.5,5,10.0,10,201.0,201
1,10.026462102792435,0.4581074771251862,42,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,201.0,201
2,9.783091612085574,0.41763559119153726,46,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,201.0,201
3,9.898541342313765,0.39989504826420574,45,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,201.0,201
4,10.548701548903923,0.3886710895253679,34,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,201.0,201
5,10.547902444926292,0.46474962050971746,34,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,201.0,201
1,7.6391092964924026,0.38271352407699943,39,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,201.0,201
2,7.548454088640656,0.30942724072575994,48,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,201.0,201
3,8.11268655635618,0.3357139834804135,25,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,201.0,201
4,7.52049103773703,0.35327604991245004,48,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,201.0,201
5,7.699226165070146,0.28924521181334906,41,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,201.0,201
1,5.497330236149704,0.15595825843793412,41,5.0,0.8,0.8,5,6.25,6.25,201.0,201
2,5.516160220217208,0.14681288936473627,36,5.0,0.8,0.8,5,6.25,6.25,201.0,201
3,5.4995680026334455,0.17190615436165466,33,5.0,0.8,0.8,5,6.25,6.25,201.0,201
4,5.491159089414686,0.20518244237346317,52,5.0,0.8,0.8,5,6.25,6.25,201.0,201
5,5.545491409319187,0.1840266430739798,39,5.0,0.8,0.8,5,6.25,6.25,201.0,201
1,6.061268276447244,0.19840978882409796,37,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,201.0,201
2,6.163759346872543,0.20997516513880027,56,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,201.0,201
3,6.039796460940796,0.2311211926798494,28,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,201.0,201
4,6.12782989598206,0.1696883140835066,44,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,201.0,201
5,6.0380171324688545,0.2110227630586309,36,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,201.0,201
1,47.71011484706393,0.48493164262148947,19,10.0,0.1,0.1,10,100.0,100,201.0,201
2,38.65614938890073,0.37406323225131394,24,10.0,0.1,0.1,10,100.0,100,201.0,201
3,76.41534658668986,0.6115800896934396,11,10.0,0.1,0.1,10,100.0,100,201.0,201
4,35.93379529343527,0.462522080963379,26,10.0,0.1,0.1,10,100.0,100,201.0,201
5,47.86015762926786,0.4654658158643904,19,10.0,0.1,0.1,10,100.0,100,201.0,201
6,45.71307589485468,0.47082876530687395,20,10.0,0.1,0.1,10,100.0,100,201.0,201
7,37.288142119892065,0.3836194715868953,25,10.0,0.1,0.1,10,100.0,100,201.0,201
8,45.51011399043569,0.40517853861107117,20,10.0,0.1,0.1,10,100.0,100,201.0,201
9,52.71625077985,0.7741215157072048,17,10.0,0.1,0.1,10,100.0,100,201.0,201
10,45.615667068829865,0.5272990289481816,20,10.0,0.1,0.1,10,100.0,100,201.0,201
1,46.18253001389968,0.9048569405099047,17,10.0,0.2,0.2,10,50.0,50,201.0,201
2,53.50288577131527,0.8959340067409173,14,10.0,0.2,0.2,10,50.0,50,201.0,201
3,44.25304780157438,0.7388134338139903,18,10.0,0.2,0.2,10,50.0,50,201.0,201
4,36.63997772549518,0.5919805693129521,23,10.0,0.2,0.2,10,50.0,50,201.0,201
5,35.18709305296903,0.6266875974716247,24,10.0,0.2,0.2,10,50.0,50,201.0,201
6,40.756415749068786,0.6273672844425258,20,10.0,0.2,0.2,10,50.0,50,201.0,201
7,39.2745259472792,0.45897653322364146,21,10.0,0.2,0.2,10,50.0,50,201.0,201
8,35.26954015061748,0.5970001085249248,24,10.0,0.2,0.2,10,50.0,50,201.0,201
9,44.358522792318034,0.6295783238090473,18,10.0,0.2,0.2,10,50.0,50,201.0,201
10,37.82188692762466,0.5643613639594006,22,10.0,0.2,0.2,10,50.0,50,201.0,201
1,32.540382583817774,0.7116911181279051,23,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
2,35.66955018581811,0.835384914574618,20,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
3,28.9879235182423,0.6286503133000618,27,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
4,38.6072747876603,0.9882727568124023,18,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
5,38.24052488154578,0.8016499087084888,18,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
6,39.84461233413375,0.9853968071741561,17,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,201.0,201
