value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
2,0.3229162980630058,0.04662306536863459,51,5.0,0.1,0.1,5,50.0,50,51.0,51
2,0.1437126286150319,0.00922877535806238,51,5.0,0.2,0.2,5,25.0,25,51.0,51
1,0.24291699467631614,0.018053803659255005,51,5.0,0.3,0.3,5,16.666666666666668,16.6666666666667,51.0,51
1,0.18789531506773838,0.00784708386444787,50,5.0,0.4,0.4,5,12.5,12.5,51.0,51
2,0.13023895518771433,0.004435046707712853,51,5.0,0.5,0.5,5,10.0,10,51.0,51
5,0.11418811944200065,0.0026013511370443724,51,5.0,0.6,0.6,5,8.333333333333334,8.33333333333333,51.0,51
3,0.10692924040239317,0.0026570726069900376,11,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,51.0,51
5,0.10842736734453597,0.002640109791853903,40,5.0,0.7,0.7,5,7.142857142857143,7.14285714285714,51.0,51
1,0.10016520717123246,0.0011977227522337274,6,5.0,0.8,0.8,5,6.25,6.25,51.0,51
2,0.10011858490624541,0.0017976750840716785,15,5.0,0.8,0.8,5,6.25,6.25,51.0,51
3,0.10047339513948099,8.221731203887166e-4,5,5.0,0.8,0.8,5,6.25,6.25,51.0,51
4,0.09997329514669355,0.0010772720355429427,5,5.0,0.8,0.8,5,6.25,6.25,51.0,51
5,0.10083386455093163,0.0016892530545841858,20,5.0,0.8,0.8,5,6.25,6.25,51.0,51
1,0.1073534255531017,0.002164318700291868,47,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,51.0,51
4,0.10447740413037551,0.0019458052622637406,4,5.0,0.9,0.9,5,5.555555555555555,5.55555555555556,51.0,51
1,0.44968490194699196,0.0026235018528004235,2,10.0,0.1,0.1,10,100.0,100,51.0,51
2,0.32292052127803506,0.002264770154370479,2,10.0,0.1,0.1,10,100.0,100,51.0,51
3,0.38753651996143335,0.06714043847121634,5,10.0,0.1,0.1,10,100.0,100,51.0,51
9,0.389252068879242,0.07569908186271083,42,10.0,0.1,0.1,10,100.0,100,51.0,51
1,0.3018924961150416,0.03778658846700488,26,10.0,0.2,0.2,10,50.0,50,51.0,51
3,0.31009834390864066,0.03762372116296979,22,10.0,0.2,0.2,10,50.0,50,51.0,51
9,0.2753895485010467,0.04250513306172808,2,10.0,0.2,0.2,10,50.0,50,51.0,51
1,0.2529483304704132,0.020354871927300674,21,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
2,0.2391108460499472,9.15956011326625e-4,3,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
3,0.23859910576803778,0.002846074631263682,2,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
4,0.2471294757655187,0.0033581922287848776,2,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
6,0.23896009087770614,0.005703963618756355,3,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
8,0.24276462186087794,0.0019301767887160471,3,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
10,0.2556687355846711,0.020686038509413782,17,10.0,0.3,0.3,10,33.333333333333336,33.3333333333333,51.0,51
5,0.3259003006990334,0.027492958987774384,22,10.0,0.4,0.4,10,25.0,25,51.0,51
7,0.31421507803534215,0.03364346944708716,3,10.0,0.4,0.4,10,25.0,25,51.0,51
9,0.3312009615512388,0.027554163251029964,26,10.0,0.4,0.4,10,25.0,25,51.0,51
